date,symbol,market_name,open_interest,comm_long,comm_short,comm_net,cot_index_26w,cot_index_52w,zero_line,bias
2024-10-29,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,438061,313576,340715,-27139,11.2,10.6,sell,bear
2024-10-29,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,89974,47980,60882,-12902,46.3,19.9,sell,bear
2024-11-05,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2158810,1450470,1682523,-232053,0.0,0.0,sell,bear
2024-11-05,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,263529,145082,173216,-28134,31.8,41.1,sell,neutral
2024-11-05,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,448893,324134,347671,-23537,14.6,14.4,sell,bear
2024-11-05,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,86343,43814,60931,-17117,26.7,14.0,sell,bear
2024-11-12,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2255574,1543090,1702688,-159598,26.5,18.3,sell,bear
2024-11-12,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,288619,157135,187772,-30637,25.7,35.8,sell,neutral
2024-11-12,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,480846,346137,376566,-30429,8.1,8.1,sell,bear
2024-11-12,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,88312,43230,60875,-17645,24.3,13.7,sell,bear
2024-11-19,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2280743,1560143,1741184,-181041,18.7,12.9,sell,bear
2024-11-19,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,287341,159419,191304,-31885,22.7,33.2,sell,neutral
2024-11-19,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,488795,354411,381767,-27356,11.0,11.0,sell,bear
2024-11-19,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,86770,44691,59509,-14818,23.0,21.2,sell,neutral
